t	love	sex	6.77	0.23590128	0.5161183
h	tiger	cat	7.35	0.23797092	0.458812
i	tiger	tiger	10.00	1.0000001	1.0
t	book	paper	7.46	0.64621884	0.5547359
M	computer	keyboard	7.62	0.0039294884	0.53944093
t	computer	internet	7.58	0.06859385	0.37684754
S	plane	car	5.77	0.27528062	0.4013934
S	train	car	6.31	0.32356304	0.4722103
t	telephone	communication	7.50	0.3358556	0.4601321
S	television	radio	6.77	0.7916335	0.73071456
H	media	radio	7.42	0.67158437	0.5552609
t	drug	abuse	6.85	0.6458601	0.6398519
S	bread	butter	6.19	0.6139055	0.69028133
S	cucumber	potato	5.92	0.690268	0.81591296
S	doctor	nurse	7.00	0.36276835	0.5926816
S	professor	doctor	6.62	0.5803553	0.63373494
S	student	professor	6.81	0.5423771	0.5820563
t	smart	student	4.62	0.27941537	0.25275773
a	smart	stupid	5.81	0.3998985	0.600772
t	company	stock	7.08	0.5394618	0.62237006
t	stock	market	8.08	0.75218236	0.7008354
t	stock	phone	1.62	0.022753557	0.35839513
t	stock	CD	1.31	-0.06201165	0.29579908
t	stock	jaguar	0.92	0.25957692	0.43570524
t	stock	egg	1.81	0.16053514	0.28643706
t	fertility	egg	6.69	0.35371533	0.5680703
t	stock	live	3.73	-0.05029844	0.24225652
t	stock	life	0.92	-0.23880655	0.05436732
t	book	library	7.46	0.44996023	0.36775464
t	bank	money	8.12	0.3771013	0.5125092
s	wood	forest	7.73	0.3308893	0.42573985
H	money	cash	9.15	0.60821277	0.73786926
t	professor	cucumber	0.31	-0.021345701	0.00014219909
t	king	cabbage	0.23	0.025778273	0.053371657
S	king	queen	8.58	0.8815184	0.58509815
S	king	rook	5.92	0.41295034	0.52202106
S	bishop	rabbi	6.69	-0.14746067	0.54060984
m	Jerusalem	Israel	8.46	0.5226212	0.6722975
t	Jerusalem	Palestinian	7.65	0.39019996	0.5038943
t	holy	sex	1.62	-0.0089698	0.15018927
s	fuck	sex	9.44	0.15830317	0.35742116
t	Maradona	football	8.62	0.31721744	0.5433408
s	football	soccer	9.03	0.8614979	0.8619586
S	football	basketball	6.81	0.88048744	0.79710346
S	football	tennis	6.63	0.64668286	0.7981318
t	tennis	racket	7.56	0.22023748	0.4604388
t	Arafat	peace	6.73	0.2084026	0.41917896
t	Arafat	terror	7.65	0.35767928	0.6042293
S	Arafat	Jackson	2.50	0.0345936	0.4381365
t	law	lawyer	8.38	0.4718459	0.4981667
t	movie	star	7.38	0.70805824	0.50378025
t	movie	popcorn	6.19	0.034822803	0.34589309
t	movie	critic	6.73	0.2265577	0.38068366
t	movie	theater	7.92	0.6579452	0.6214013
t	physics	proton	8.12	0.30442673	0.4562827
S	physics	chemistry	7.35	0.6411529	0.74554735
t	space	chemistry	4.88	0.03249729	0.14657173
t	alcohol	chemistry	5.54	0.33018032	0.29008797
S	vodka	gin	8.46	0.2768885	0.7083808
S	vodka	brandy	8.13	0.18976972	0.71026605
t	drink	car	3.04	0.14044589	0.21501356
t	drink	ear	1.31	0.20844148	0.45536265
t	drink	mouth	5.96	0.25687408	0.41165128
S	drink	eat	6.87	0.6898932	0.7792329
t	baby	mother	7.85	0.6208136	0.7146008
t	drink	mother	2.65	0.120128185	0.29491398
s	car	automobile	8.94	0.7740259	0.74759686
s	gem	jewel	8.96	0.30208153	0.5366111
s	journey	voyage	9.29	0.48700145	0.7547752
s	boy	lad	8.83	-0.03775139	0.4445302
s	coast	shore	9.10	0.79886246	0.84381473
s	asylum	madhouse	8.87	-0.2660308	0.51764053
s	magician	wizard	9.02	0.04702159	0.53107536
s	midday	noon	9.29	0.6446786	0.7225808
s	furnace	stove	8.79	0.64191437	0.7201647
H	food	fruit	7.52	0.8087213	0.72071874
H	bird	cock	7.10	0.16127893	0.14565548
H	bird	crane	7.38	0.19746962	0.36592728
t	tool	implement	6.46	0.5847341	0.62828285
t	brother	monk	6.27	0.3943042	0.32732886
t	crane	implement	2.69	0.046879906	-0.25477582
t	lad	brother	4.46	0.19957612	0.5253445
t	journey	car	5.85	0.16332817	0.14725149
t	monk	oracle	5.00	0.09297024	0.26025575
t	cemetery	woodland	2.08	-0.07274983	0.41884768
H	food	rooster	4.42	0.12619458	0.2818327
t	coast	hill	4.38	0.49910796	0.5903494
t	forest	graveyard	1.85	0.3057236	0.43805477
t	shore	woodland	3.08	0.61711496	0.6503495
t	monk	slave	0.92	0.23837146	0.29616356
